AcX,AcY,AcZ
-14904,-5412,-3096
-16832,-3328,-2172
-15992,-2136,-3016
-16200,-2676,-3148
-16160,-1300,-3416
-16176,-1848,-5224
-17676,-972,-6156
-17360,-124,-6440
-17000,1752,-7252
-15812,-1680,-6788
-19112,-2712,-6992
-19712,-2628,-6144
-18932,-2956,-5860
-19312,-1088,-6272
-14740,-2736,-5972
-11620,5984,-9320
-10504,15812,-4196
-10228,20888,-4468
-10692,21508,-4872
-13356,18952,-6184
-16592,11636,-6596
-20840,-3372,-5936
-18664,-32768,-6836
-29756,-32768,5956
-11992,-28608,9164
2864,9356,-12636
-28720,5252,-11792
-18688,-6328,-8552
-14300,-5704,-3004
-18444,-4032,-2340
-16468,-2732,-3796
-17152,-1700,-1212
-18108,-1924,-1084
-15680,-500,-2924
-15912,-1808,-5048
-14968,-1596,-7456
-13652,-1908,-8500
-14444,-3800,-8236
-14072,-5444,-5800
-14064,-4696,-5392
-15156,-3988,-4980
-14692,-3432,-4620
-14920,-1596,-4784
-14544,-1864,-4240
-15892,-3476,-3696
-15296,-3892,-5104
-14776,-4016,-7520
-13056,-3244,-6376
-15616,-2528,-7160
-17780,-24,-6672
-21324,1276,-8112
-21504,2504,-7292
-20184,-308,-5936
-21156,-1476,-5444
-19620,-3340,-3024
-14472,-1828,-3580
-2092,11052,-1032
-376,13252,-1212
-5140,13832,-2244
-11720,6876,-1740
-19316,-15564,-2492
-22972,-32616,-2372
-23128,-32768,3028
-21100,-32768,-6104
3992,22416,-10180
-23788,-7204,-13064
-16100,-7856,-5836
-13984,-568,-3804
-14668,-6708,-1720
-13524,-1260,392
-15788,-500,-544
-14352,-3188,-2812
-14968,-6616,-4788
-15068,-4076,-6600
-16232,-3964,-5792
-16364,-2936,-4740
-16624,-3880,-5068
-16600,-4540,-5160
-16692,-4660,-4816
-15684,-5448,-4644
-16804,-3452,-2712
-15196,-1880,-820
-13600,-1448,-2648
-14024,-936,-4724
-15008,-76,-5048
-14228,-2204,-5784
-15532,-1208,-6808
-17400,-136,-8312
-17612,-128,-9276
-19864,-88,-9364
-20068,-804,-7728
-18260,-2492,-5904
-15268,-4036,-5296
-11252,3324,-5132
-10016,9672,-3796
-10276,12792,-3296
-13336,12564,-3128
-16408,12436,-3880
-19400,10308,-5128
-19348,3336,-3244
-19860,-4096,316
-18280,-25756,-4300
-22064,-32768,9332
-20076,-32768,8332
692,27268,-5992
-17144,-1980,-23820
-21204,-10036,-5044
-13720,-1536,-5736
-16864,-3576,-1740
-18264,-100,292
-14788,308,-1368
-17996,-3656,-1592
-16108,-2776,-4088
-13744,-3676,-5944
-14516,-3532,-6612
-15360,-1924,-6436
-14392,212,-5820
-14000,-1036,-5740
-16032,1832,-5664
-19820,1460,-6304
-21772,12,-6216
-21616,-1636,-4876
-18168,-5720,-4504
-16520,-8404,-3088
-10556,1424,-3312
-6848,10056,-4292
-4504,13104,-3708
-3924,11764,-2076
-7648,7204,-2388
-16296,-5144,-1912
-23340,-32768,-1600
-22868,-32768,812
-23620,-32768,-10728
6028,26676,-11384
-20480,-1272,-17756
-20280,-6324,1388
-12780,1060,368
-15976,-4016,-3304
-15908,-1128,-5760
-16784,-4212,-5904
-15228,-3392,-3456
-15968,-3832,-3988
-15272,-3376,-5212
-16032,-2536,-5560
-15868,-3452,-5032
-15396,-4556,-4448
-15904,-3788,-4512
-16400,-5060,-3716
-15812,-5464,-3472
-15644,-5188,-3624
-15708,-4776,-3332
-15180,-4716,-4540
-15184,-4484,-4512
-15724,-4592,-4700
-15428,-4696,-4140
-15012,-4020,-3820
-14984,-3280,-4140
-16508,-1884,-4612
-18376,-780,-6380
-19192,1920,-6856
-17780,3464,-6300
-17316,3980,-6860
-20852,3360,-8240
-22140,1328,-7464
-22752,-124,-7052
-17800,-1048,-5460
-13408,-4028,-3416
-2648,18784,-2788
80,22340,-5212
-544,21820,-4652
-7860,10836,-2996
-18404,4368,-7744
-26872,-31656,-5392
-26784,-32768,1532
-22936,-32768,6024
-17872,6996,3856
-3736,1176,-9552
-21684,-3816,-8644
-16496,-5256,-7492
-15852,-7648,-8580
-15168,-3576,-4032
-16600,-4740,-4416
-17824,-1272,-3168
-18992,-1664,-2888
-17160,-6332,-3732
-14448,-8932,-3228
-12748,-5192,-3672
-12284,-5164,-1908
-13548,-4996,-1384
-13648,-4072,-3008
-12008,-3784,-3684
-14840,-3852,-3132
-15500,-3216,-2412
-16712,-2128,-3320
-17012,-2436,-4420
-18508,-2472,-5000
-19748,-1572,-4416
-19644,-1264,-4956
-20804,560,-6004
-22824,620,-6992
-23548,3480,-9292
-24412,4316,-7132
-24632,228,-4700
-20744,-5576,-4360
-13640,-6524,-5740
-5480,-8552,-2592
296,7416,-7192
14268,29692,1348
17000,32448,2484
7012,26552,948
-14028,20372,-3108
-32768,-26756,-14860
-32768,-32768,4552
-23252,-32768,-7484
13472,32767,16708
-22836,-8308,-29652
-21964,-13568,-3780
-13200,1412,-3880
-17908,-11136,-2596
-15484,-7548,-5016
-16936,-4828,-1300
-16892,-5552,-1580
-17364,1016,-2992
-16156,-1908,-6084
-16196,-5120,-5808
-14328,-5208,-5580
-13968,-4524,-5108
-12312,-2104,-5116
-13700,-1776,-4660
-15012,-688,-4372
-17368,1360,-4524
-19868,3648,-4928
-22560,5468,-4004
-25120,8988,-4672
-29448,7456,-6080
-28944,4776,-7360
-18396,-5832,-6124
-5548,-8940,-10872
6920,21300,-6336
12048,27224,-8344
9196,23580,-6136
-3268,9668,-2752
-21132,-23228,2072
-32768,-32768,4192
-32768,-32768,15356
-19020,13752,9196
-4008,31084,-21664
-28924,-10156,-11800
-4584,-9684,-2364
-18248,-6184,-2052
-16196,-2028,-1416
-16804,-6476,-2116
-16580,-5944,-1460
-17700,-5016,-1828
-17252,-5176,-4024
-16264,-5720,-5432
-16148,-4780,-4824
-14728,-4356,-4576
-14212,-4744,-3904
-13660,-3840,-4112
-13784,-3836,-5200
-13680,-3668,-5224
-14452,-3932,-4832
-13840,-3080,-3696
-13572,-4712,-2056
-13420,-3524,-2516
-14620,-2320,-3872
-15912,-500,-5792
-18948,168,-6792
-20420,2896,-7784
-20616,1964,-8132
-21436,2176,-8032
-20480,528,-7604
-21752,-172,-5372
-20028,-1644,-4428
-16980,-2172,-4268
-11104,1112,-5484
-6724,8636,-4392
-5268,10724,-5328
-4644,12672,-6132
-7288,9088,-5676
-10072,5192,-5052
-16208,-6512,-4348
-20992,-32768,-808
-24204,-32768,7336
-32768,-14496,2996
1936,10804,1648
-19148,-2448,-7032
-17604,-5104,-3448
-16912,-8112,-3788
-15400,-3920,-6964
-16732,-5136,-1560
-16456,-2784,-4108
-14996,-3156,-4236
-15268,-2684,-5552
-15868,-2416,-5908
-16004,-2036,-7288
-14720,-4124,-6212
-13824,-3264,-7160
